,group,recommend,typeNames,method,location,overallScore
12,Grouper,AVOID,"Grouper, Red                         Grouper, Hata",Set longlines,Mexico - Western Central Atlantic Ocean: Gulf of Mexico,1.25
13,Grouper,AVOID,"Grouper, Scamp                         Grouper, Hata",Vertical lines,U.S. - Western Central Atlantic Ocean (excluding U.S. Gulf of Mexico),2.0580000000000003
14,Grouper,AVOID,"Grouper, Scamp                         Grouper, Hata",Vertical lines,U.S. - Western Central Atlantic Ocean: Gulf of Mexico,2.0580000000000003
15,Grouper,AVOID,"Grouper, Scamp                         Grouper, Hata",Set longlines,U.S. - Western Central Atlantic Ocean: Gulf of Mexico,1.807
16,Grouper,AVOID,"Grouper, Snowy                         Grouper, Hata",Set longlines,U.S. - Western Central Atlantic Ocean: Gulf of Mexico,1.807
17,Grouper,AVOID,"Grouper, Snowy                         Grouper, Hata",Vertical lines,U.S. - Western Central Atlantic Ocean: Gulf of Mexico,2.0580000000000003
18,Grouper,AVOID,"Grouper, Snowy                         Grouper, Hata",Set longlines,U.S. - Western Central Atlantic Ocean (excluding U.S. Gulf of Mexico),1.9269999999999998
19,Grouper,AVOID,"Grouper, Snowy                         Grouper, Hata",Vertical lines,U.S. - Western Central Atlantic Ocean (excluding U.S. Gulf of Mexico),2.195
20,Grouper,AVOID,"Grouper, Warsaw                         Grouper, Hata",Vertical lines,U.S. - Western Central Atlantic Ocean: Gulf of Mexico,2.0580000000000003
21,Grouper,AVOID,"Grouper, Warsaw                         Grouper, Hata",Set longlines,U.S. - Western Central Atlantic Ocean: Gulf of Mexico,1.807
22,Grouper,AVOID,"Grouper, Yellowedge                         Grouper, Hata, Yellowfinned Grouper",Set longlines,U.S. - Western Central Atlantic Ocean (excluding U.S. Gulf of Mexico),1.807
23,Grouper,AVOID,"Grouper, Yellowedge                         Grouper, Hata, Yellowfinned Grouper",Vertical lines,U.S. - Western Central Atlantic Ocean (excluding U.S. Gulf of Mexico),2.0580000000000003
0,Haddock,GOOD ALTERNATIVE,"Haddock                         Haddock, Scrod",Bottom trawls,U.S. - Northwest Atlantic Ocean: Gulf of Maine,2.461
1,Haddock,GOOD ALTERNATIVE,"Haddock                         Haddock, Scrod",Bottom trawls,U.S. - Northwest Atlantic Ocean: Georges Bank,2.461
2,Haddock,GOOD ALTERNATIVE,"Haddock                         Haddock, Scrod",Handlines and hand-operated pole-and-lines,U.S. - Northwest Atlantic Ocean: Georges Bank,2.6839999999999997
3,Haddock,GOOD ALTERNATIVE,"Haddock                         Haddock, Scrod",Handlines and hand-operated pole-and-lines,U.S. - Northwest Atlantic Ocean: Gulf of Maine,2.6839999999999997
4,Haddock,GOOD ALTERNATIVE,"Haddock                         Haddock, Scrod",Set longlines,U.S. - Northwest Atlantic Ocean: Gulf of Maine,2.59
5,Haddock,GOOD ALTERNATIVE,"Haddock                         Haddock, Scrod",Set longlines,U.S. - Northwest Atlantic Ocean: Georges Bank,2.59
6,Haddock,,"Haddock             Haddock, Scrod",Bottom trawls,Marine Stewardship Council Certified Fisheries (Compagnie des Peches Saint Malo and Euronor),10.0
7,Haddock,,"Haddock             Haddock, Scrod",Trammel nets,Marine Stewardship Council Certified Fisheries (DFPO Denmark & Skagerrak),10.0
8,Haddock,,"Haddock             Haddock, Scrod",Bottom trawls,Marine Stewardship Council Certified Fisheries (Faroe Islands and Iceland North East Arctic),10.0
9,Haddock,,"Haddock             Haddock, Scrod",Longlines,Marine Stewardship Council Certified Fisheries (FIUN Barents and Norwegian Seas),10.0
10,Haddock,,"Haddock             Haddock, Scrod",Bottom trawls,"Marine Stewardship Council Certified Fisheries (Arkhangelsk Trawl Fleet, Norwegian and Barents Seas)",10.0
11,Haddock,,"Haddock             Haddock, Scrod",Longlines,Marine Stewardship Council Certified Fisheries (Norway North East Arctic),10.0
12,Haddock,,"Haddock             Haddock, Scrod",Otter trawls,Marine Stewardship Council Certified Fisheries (Canada Scotia-Fundy),10.0
13,Haddock,,"Haddock             Haddock, Scrod",Otter trawls,"Marine Stewardship Council Certified Fisheries (UK Fisheries, DFFU, Doggerbank Group)",10.0
14,Haddock,,"Haddock             Haddock, Scrod",Otter trawls,Marine Stewardship Council Certified Fisheries (US North Atlantic),10.0
15,Haddock,,"Haddock             Haddock, Scrod",Bottom trawls,Marine Stewardship Council Certified Fisheries (ISF Iceland),10.0
16,Haddock,,"Haddock             Haddock, Scrod",Bottom trawls,Marine Stewardship Council Certified Fisheries (Russian Federation Barents Sea),10.0
17,Haddock,,"Haddock             Haddock, Scrod",Bottom trawls,Marine Stewardship Council Certified Fisheries (Greenland),10.0
18,Haddock,,"Haddock             Haddock, Scrod",Bottom trawls,Marine Stewardship Council Certified Fisheries (Faroe Islands North East Arctic),10.0
19,Haddock,,"Haddock             Haddock, Scrod",Pair Seines,Marine Stewardship Council Certified Fisheries (SFSAG Northern Demersal Stocks),10.0
20,Haddock,,"Haddock             Haddock, Scrod",Bottom trawls,Marine Stewardship Council Certified Fisheries (SFSAG Rockall Haddock),10.0
21,Haddock,,"Haddock             Haddock, Scrod",Danish Seines,Marine Stewardship Council Certified Fisheries (SFSAG Northern Demersal Stocks),10.0
22,Haddock,,"Haddock             Haddock, Scrod",Bottom Trawls,Marine Stewardship Council Certified Fisheries (SFSAG Northern Demersal Stocks),10.0
23,Haddock,,"Haddock             Haddock, Scrod",Pair Trawls,Marine Stewardship Council Certified Fisheries (SFSAG Northern Demersal Stocks),10.0
24,Haddock,,"Haddock             Haddock, Scrod",Bottom trawls,Marine Stewardship Council Certified Fisheries (DFPO Denmark & Skagerrak),10.0
25,Haddock,,"Haddock             Haddock, Scrod",Longlines,Marine Stewardship Council Certified Fisheries (DFPO Denmark & Skagerrak),10.0
26,Haddock,,"Haddock             Haddock, Scrod",Danish seines,Marine Stewardship Council Certified Fisheries (DFPO Denmark & Skagerrak),10.0
27,Haddock,,"Haddock             Haddock, Scrod",Bottom trawls,Marine Stewardship Council Certified Fisheries (FIUN Barents and Norwegian Seas),10.0
28,Haddock,,"Haddock             Haddock, Scrod",Bottom trawls,Marine Stewardship Council Certified Fisheries (Norway North East Arctic),10.0
29,Haddock,,"Haddock             Haddock, Scrod",Hooks and Lines,Marine Stewardship Council Certified Fisheries (Norway North East Arctic),10.0
30,Haddock,,"Haddock             Haddock, Scrod",Gillnets,Marine Stewardship Council Certified Fisheries (Norway North East Arctic),10.0
31,Haddock,,"Haddock             Haddock, Scrod",Handlines and pole-lines (mechanized),Marine Stewardship Council Certified Fisheries (Canada Scotia-Fundy),10.0
32,Haddock,,"Haddock             Haddock, Scrod",Danish seines,Marine Stewardship Council Certified Fisheries (ISF Iceland),10.0
33,Haddock,,"Haddock             Haddock, Scrod",Danish seines,Marine Stewardship Council Certified Fisheries (Norway North East Arctic),10.0
34,Haddock,,"Haddock             Haddock, Scrod",Gillnets,Marine Stewardship Council Certified Fisheries (ISF Iceland),10.0
35,Haddock,,"Haddock             Haddock, Scrod",Longlines,Marine Stewardship Council Certified Fisheries (ISF Iceland),10.0
36,Haddock,,"Haddock             Haddock, Scrod",Handlines and pole-lines (hand-operated),Marine Stewardship Council Certified Fisheries (ISF Iceland),10.0
37,Haddock,,"Haddock             Haddock, Scrod",Nephrops trawls,Marine Stewardship Council Certified Fisheries (ISF Iceland),10.0
38,Haddock,,"Haddock             Haddock, Scrod",Midwater trawls,Marine Stewardship Council Certified Fisheries (ISF Iceland),10.0
39,Haddock,,"Haddock             Haddock, Scrod",Hooks and lines,Marine Stewardship Council Certified Fisheries (Norway North Sea demersal),10.0
40,Haddock,,"Haddock             Haddock, Scrod",Gillnets,Marine Stewardship Council Certified Fisheries (Norway North Sea demersal),10.0
41,Haddock,,"Haddock             Haddock, Scrod",Purse seines,Marine Stewardship Council Certified Fisheries (Norway North Sea demersal),10.0
42,Haddock,,"Haddock             Haddock, Scrod",Danish seines,Marine Stewardship Council Certified Fisheries (Norway North Sea demersal),10.0
43,Haddock,,"Haddock             Haddock, Scrod",Pots,Marine Stewardship Council Certified Fisheries (Norway North Sea demersal),10.0
44,Haddock,,"Haddock             Haddock, Scrod",Bottom trawls,Marine Stewardship Council Certified Fisheries (Norway North Sea demersal),10.0
45,Haddock,,"Haddock             Haddock, Scrod",Otter trawls,Marine Stewardship Council Certified Fisheries (US Gulf of Maine and Georges Bank),10.0
46,Haddock,,"Haddock             Haddock, Scrod",Hooks and lines,Marine Stewardship Council Certified Fisheries (Canada Scotia-Fundy),10.0
47,Haddock,,"Haddock             Haddock, Scrod",Otter trawls,Marine Stewardship Council Certified Fisheries (Barents Sea),10.0
48,Haddock,,"Haddock             Haddock, Scrod",Gillnets,Marine Stewardship Council Certified Fisheries (Canada Scotia-Fundy),10.0
49,Haddock,,"Haddock             Haddock, Scrod",Bottom trawls,Marine Stewardship Council Certified Fisheries (Murmanseld),10.0
0,Hake,GOOD ALTERNATIVE,"Hake, Offshore                         Black Hake, Whiting",Bottom trawls,U.S. - Northwest Atlantic Ocean (New England),2.83
1,Hake,GOOD ALTERNATIVE,"Hake, Offshore                         Black Hake, Whiting",Bottom trawls,U.S. - Northwest Atlantic Ocean (Mid-Atlantic),2.82
2,Hake,GOOD ALTERNATIVE,"Hake, Red                         Hake, Ling, Mud Hake, Squirrel Hake",Bottom trawls,U.S. - Northwest Atlantic Ocean (New England),3.09
3,Hake,GOOD ALTERNATIVE,"Hake, Red                         Hake, Ling, Mud Hake, Squirrel Hake",Bottom trawls,U.S. - Northwest Atlantic Ocean (Mid-Atlantic),3.09
4,Hake,GOOD ALTERNATIVE,"Hake, Silver                         Whiting",Bottom trawls,U.S. - Northwest Atlantic Ocean (New England),3.09
5,Hake,GOOD ALTERNATIVE,"Hake, Silver                         Whiting",Bottom trawls,U.S. - Northwest Atlantic Ocean (Mid-Atlantic),3.09
6,Hake,GOOD ALTERNATIVE,"Hake, White                         Hake",Set longlines,U.S. - Northwest Atlantic Ocean,3.0010000000000003
7,Hake,GOOD ALTERNATIVE,"Hake, White                         Hake",Set gillnets,U.S. - Northwest Atlantic Ocean,2.354
8,Hake,GOOD ALTERNATIVE,"Hake, White                         Hake",Large mesh bottom trawl,U.S. - Northwest Atlantic Ocean,2.237
9,Hake,AVOID,"Hake, White                         Hake",Bottom trawls,"Canada - Newfoundland and Labrador, Northwest Atlantic Ocean",2.06
10,Hake,AVOID,"Hake, White                         Hake",Bottom trawls,Canada - Northwest Atlantic Ocean (Maritimes),1.86
11,Hake,AVOID,"Hake, White                         Hake",Set gillnets,"Canada - Newfoundland and Labrador, Northwest Atlantic Ocean",1.92
12,Hake,AVOID,"Hake, White                         Hake",Set longlines,"Canada - Newfoundland and Labrador, Northwest Atlantic Ocean",2.13
13,Hake,AVOID,"Hake, White                         Hake",Set gillnets,Canada - Northwest Atlantic Ocean (Maritimes),1.92
14,Hake,AVOID,"Hake, White                         Hake",Set longlines,Canada - Northwest Atlantic Ocean (Maritimes),1.92
15,Hake,,"Hake, Cape             Hake",Bottom trawls,Marine Stewardship Council Certified Fisheries (South Africa),10.0
16,Hake,,"Hake, Deep-water Cape             Hake",Bottom trawls,Marine Stewardship Council Certified Fisheries (South Africa),10.0
17,Hake,,"Hake, European             Hake",Danish seines,"Marine Stewardship Council Certified Fisheries (DFPO Denmark North Sea, Skagerrak & Kattegat)",10.0
18,Hake,,"Hake, European             Hake",Gillnets,Marine Stewardship Council Certified Fisheries (Cornish Hake),10.0
19,Hake,,"Hake, European             Hake",Pair Seines,Marine Stewardship Council Certified Fisheries (SFSAG Northern Demersal Stocks),10.0
20,Hake,,"Hake, European             Hake",Danish Seines,Marine Stewardship Council Certified Fisheries (SFSAG Northern Demersal Stocks),10.0
21,Hake,,"Hake, European             Hake",Trammel nets,"Marine Stewardship Council Certified Fisheries (DFPO Denmark North Sea, Skagerrak & Kattegat)",10.0
22,Hake,,"Hake, European             Hake",Bottom trawls,"Marine Stewardship Council Certified Fisheries (DFPO Denmark North Sea, Skagerrak & Kattegat)",10.0
23,Hake,,"Hake, European             Hake",Bottom Trawls,Marine Stewardship Council Certified Fisheries (SFSAG Northern Demersal Stocks),10.0
24,Hake,,"Hake, European             Hake",Pair Trawls,Marine Stewardship Council Certified Fisheries (SFSAG Northern Demersal Stocks),10.0
25,Hake,,"Hake, European             Hake",Purse seines,Marine Stewardship Council Certified Fisheries (Norway North Sea demersal),10.0
26,Hake,,"Hake, European             Hake",Hooks and lines,Marine Stewardship Council Certified Fisheries (Norway North Sea demersal),10.0
27,Hake,,"Hake, European             Hake",Danish seines,Marine Stewardship Council Certified Fisheries (Norway North Sea demersal),10.0
28,Hake,,"Hake, European             Hake",Gillnets,Marine Stewardship Council Certified Fisheries (Norway North Sea demersal),10.0
29,Hake,,"Hake, European             Hake",Pots,Marine Stewardship Council Certified Fisheries (Norway North Sea demersal),10.0
30,Hake,,"Hake, European             Hake",Bottom trawls,Marine Stewardship Council Certified Fisheries (Norway North Sea demersal),10.0
31,Hake,,"Hake, Pacific Whiting             Hake",Midwater trawls,Marine Stewardship Council Certified Fisheries (U.S. and Canada Pacific),10.0
32,Hake,,"Hake, Southern             Hake",Longlines,Marine Stewardship Council Certified Fisheries (New Zealand),10.0
33,Hake,,"Hake, Southern             Hake",Midwater trawls,Marine Stewardship Council Certified Fisheries (New Zealand),10.0
34,Hake,,"Hake, Southern             Hake",Bottom trawls,Marine Stewardship Council Certified Fisheries (New Zealand),10.0
0,Halibut,BEST CHOICE,"Halibut, Atlantic                         Halibut, Hirame",Indoor recirculating tank (with wastewater treatment),Worldwide,6.91
1,Halibut,GOOD ALTERNATIVE,"Halibut, Atlantic                         Halibut, Hirame",Indoor recirculating tank (without wastewater treatment),Worldwide,6.63
2,Halibut,AVOID,"Halibut, Atlantic                         Halibut, Hirame",Bottom trawls,U.S. - Northwest Atlantic Ocean (New England),2.013
3,Halibut,AVOID,"Halibut, Cortez                         Flounder, Hirame",Bottom Trawls,Mexico - Eastern Central Pacific Ocean: Gulf of California,1.764
4,Halibut,AVOID,"Halibut, Cortez                         Flounder, Hirame",Set gillnets,Mexico - Eastern Central Pacific Ocean: Gulf of California,1.994
5,Halibut,,"Halibut, Atlantic             Halibut, Hirame",Gillnets,Marine Stewardship Council Certified Fisheries (Canada Atlantic),10.0
6,Halibut,,"Halibut, Atlantic             Halibut, Hirame",Handlines and pole-lines (hand-operated),Marine Stewardship Council Certified Fisheries (Canada Atlantic),10.0
7,Halibut,,"Halibut, Atlantic             Halibut, Hirame",Bottom trawls,Marine Stewardship Council Certified Fisheries (Canada Atlantic),10.0
8,Halibut,,"Halibut, Atlantic             Halibut, Hirame",Longlines,Marine Stewardship Council Certified Fisheries (Canada Atlantic),10.0
9,Halibut,,"Halibut, Pacific             Halibut, Hirame",Longlines,Marine Stewardship Council Certified Fisheries (British Columbia),10.0
10,Halibut,,"Halibut, Pacific             Halibut, Hirame",Longlines,Marine Stewardship Council Certified Fisheries (U.S. North Pacific),10.0
11,Halibut,,"Halibut, Pacific             Halibut, Hirame",Longlines,Marine Stewardship Council Certified Fisheries (Western Bering Sea Pacific cod and Pacific halibut longline),10.0
0,Herring,BEST CHOICE,"Herring, Atlantic Common Herring, Herring, Kipper, Labrador Herring, Nishin, Sardine, Sea Herring, Sild, Sperling",Unassociated purse seine (non-FAD),U.S. - Northwest Atlantic Ocean,4.36
1,Herring,BEST CHOICE,"Herring, Pacific Herring, Nishin, Sea Herring, Sild",Set gillnets,"U.S. - California, Eastern Central Pacific Ocean",3.84
2,Herring,GOOD ALTERNATIVE,"Herring, Atlantic Common Herring, Herring, Kipper, Labrador Herring, Nishin, Sardine, Sea Herring, Sild, Sperling",Midwater trawls,U.S. - Northwest Atlantic Ocean,3.41
3,Herring,GOOD ALTERNATIVE,"Herring, Pacific Herring, Nishin, Sea Herring, Sild",Unassociated purse seine (non-FAD),"Canada - British Columbia, Northeast Pacific Ocean: Haida Gwaii 2E",3.13
4,Herring,GOOD ALTERNATIVE,"Herring, Pacific Herring, Nishin, Sea Herring, Sild",Drift gillnets,"Canada - British Columbia, Northeast Pacific Ocean (Central Coast)",3.13
5,Herring,GOOD ALTERNATIVE,"Herring, Pacific Herring, Nishin, Sea Herring, Sild",Drift gillnets,"Canada - British Columbia, Northeast Pacific Ocean (Prince Rupert District)",3.32
6,Herring,GOOD ALTERNATIVE,"Herring, Pacific Herring, Nishin, Sea Herring, Sild",Drift gillnets,"Canada - British Columbia, Northeast Pacific Ocean: Straight of Georgia",3.41
7,Herring,GOOD ALTERNATIVE,"Herring, Pacific Herring, Nishin, Sea Herring, Sild",Unassociated purse seine (non-FAD),"Canada - British Columbia, Northeast Pacific Ocean (Central Coast)",3.13
8,Herring,GOOD ALTERNATIVE,"Herring, Pacific Herring, Nishin, Sea Herring, Sild",Unassociated purse seine (non-FAD),"Canada - British Columbia, Northeast Pacific Ocean: Straight of Georgia",3.41
9,Herring,GOOD ALTERNATIVE,"Herring, Pacific Herring, Nishin, Sea Herring, Sild",Unassociated purse seine (non-FAD),"Canada - British Columbia, Northeast Pacific Ocean (Prince Rupert District)",3.32
10,Herring,GOOD ALTERNATIVE,"Herring, Pacific Herring, Nishin, Sea Herring, Sild",Drift gillnets,"Canada - British Columbia, Northeast Pacific Ocean (West Coast of Vancouver Island)",3.13
11,Herring,GOOD ALTERNATIVE,"Herring, Pacific Herring, Nishin, Sea Herring, Sild",Unassociated purse seine (non-FAD),"Canada - British Columbia, Northeast Pacific Ocean (West Coast of Vancouver Island)",3.13
12,Herring,,"Herring, Atlantic             Common Herring, Herring, Kipper, Labrador Herring, Nishin, Sardine, Sea Herring, Sild, Sperling",Midwater trawls,Marine Stewardship Council Certified Fisheries (PFA & SPSG North Sea),10.0
13,Herring,,"Herring, Atlantic             Common Herring, Herring, Kipper, Labrador Herring, Nishin, Sardine, Sea Herring, Sild, Sperling",Purse seines,Marine Stewardship Council Certified Fisheries (Norway North Sea and Skagerrak),10.0
14,Herring,,"Herring, Atlantic             Common Herring, Herring, Kipper, Labrador Herring, Nishin, Sardine, Sea Herring, Sild, Sperling",Purse seines,Marine Stewardship Council Certified Fisheries (Norway Spring Spawning Herring),10.0
15,Herring,,"Herring, Atlantic             Common Herring, Herring, Kipper, Labrador Herring, Nishin, Sardine, Sea Herring, Sild, Sperling",Purse seines,Marine Stewardship Council Certified Fisheries (DPPO and DFPO North Sea),10.0
16,Herring,,"Herring, Atlantic             Common Herring, Herring, Kipper, Labrador Herring, Nishin, Sardine, Sea Herring, Sild, Sperling",Midwater trawls,Marine Stewardship Council Certified Fisheries (FROM Nord North Sea and Eastern Channel),10.0
17,Herring,,"Herring, Atlantic             Common Herring, Herring, Kipper, Labrador Herring, Nishin, Sardine, Sea Herring, Sild, Sperling",Midwater trawls,Marine Stewardship Council Certified Fisheries (Northern Ireland Pelagic Sustainability Group Irish Sea),10.0
18,Herring,,"Herring, Atlantic             Common Herring, Herring, Kipper, Labrador Herring, Nishin, Sardine, Sea Herring, Sild, Sperling",Otter trawls,Marine Stewardship Council Certified Fisheries (Pelagic Freezer Trawler Association North Sea),10.0
19,Herring,,"Herring, Atlantic             Common Herring, Herring, Kipper, Labrador Herring, Nishin, Sardine, Sea Herring, Sild, Sperling",Midwater trawls,Marine Stewardship Council Certified Fisheries (ISF Norway & Iceland),10.0
20,Herring,,"Herring, Atlantic             Common Herring, Herring, Kipper, Labrador Herring, Nishin, Sardine, Sea Herring, Sild, Sperling",Bottom trawls,"Marine Stewardship Council Certified Fisheries (SPSG, DPPO, PFA, SPFPO & KFO Atlanto-Scandian Herring)",10.0
21,Herring,,"Herring, Atlantic             Common Herring, Herring, Kipper, Labrador Herring, Nishin, Sardine, Sea Herring, Sild, Sperling",Purse seines,Marine Stewardship Council Certified Fisheries (SPFPO Swedish North Sea),10.0
22,Herring,,"Herring, Atlantic             Common Herring, Herring, Kipper, Labrador Herring, Nishin, Sardine, Sea Herring, Sild, Sperling",Purse seines,Marine Stewardship Council Certified Fisheries (Faroese Pelagic Organisation Atlanto-Scandian Herring),10.0
23,Herring,,"Herring, Atlantic             Common Herring, Herring, Kipper, Labrador Herring, Nishin, Sardine, Sea Herring, Sild, Sperling",Midwater trawls,Marine Stewardship Council Certified Fisheries (Northern Ireland Pelagic Sustainability Group North Sea),10.0
24,Herring,,"Herring, Atlantic             Common Herring, Herring, Kipper, Labrador Herring, Nishin, Sardine, Sea Herring, Sild, Sperling",Midwater trawls,Marine Stewardship Council Certified Fisheries (Faroese Pelagic Organisation Atlanto-Scandian Herring),10.0
25,Herring,,"Herring, Atlantic             Common Herring, Herring, Kipper, Labrador Herring, Nishin, Sardine, Sea Herring, Sild, Sperling",Seine nets,Marine Stewardship Council Certified Fisheries (ISF Norway & Iceland),10.0
26,Herring,,"Herring, Atlantic             Common Herring, Herring, Kipper, Labrador Herring, Nishin, Sardine, Sea Herring, Sild, Sperling",Midwater trawls,Marine Stewardship Council Certified Fisheries (Norway North Sea and Skagerrak),10.0
27,Herring,,"Herring, Atlantic             Common Herring, Herring, Kipper, Labrador Herring, Nishin, Sardine, Sea Herring, Sild, Sperling",Midwater trawls,Marine Stewardship Council Certified Fisheries (Norway Spring Spawning Herring),10.0
28,Herring,,"Herring, Atlantic             Common Herring, Herring, Kipper, Labrador Herring, Nishin, Sardine, Sea Herring, Sild, Sperling",Purse seines,"Marine Stewardship Council Certified Fisheries (SPSG, DPPO, PFA, SPFPO & KFO Atlanto-Scandian Herring)",10.0
29,Herring,,"Herring, Atlantic             Common Herring, Herring, Kipper, Labrador Herring, Nishin, Sardine, Sea Herring, Sild, Sperling",Traps,Marine Stewardship Council Certified Fisheries (Finland Baltic herring & sprat),10.0
30,Herring,,"Herring, Atlantic             Common Herring, Herring, Kipper, Labrador Herring, Nishin, Sardine, Sea Herring, Sild, Sperling",Trawls,Marine Stewardship Council Certified Fisheries (Finland Baltic herring & sprat),10.0
31,Herring,,"Herring, Atlantic             Common Herring, Herring, Kipper, Labrador Herring, Nishin, Sardine, Sea Herring, Sild, Sperling",Midwater trawls,Marine Stewardship Council Certified Fisheries (DPPO and DFPO North Sea),10.0
32,Herring,,"Herring, Atlantic             Common Herring, Herring, Kipper, Labrador Herring, Nishin, Sardine, Sea Herring, Sild, Sperling",Midwater trawls,Marine Stewardship Council Certified Fisheries (NZRO Gulf of Riga),10.0
33,Herring,,"Herring, Atlantic             Common Herring, Herring, Kipper, Labrador Herring, Nishin, Sardine, Sea Herring, Sild, Sperling",Midwater trawls,Marine Stewardship Council Certified Fisheries (SPSG Ltd North Sea herring),10.0
34,Herring,,"Herring, Deepbody Thread             Herring, Nishin",Purse seines,"Marine Stewardship Council Certified Fisheries (Sonora, Gulf of California)",10.0
35,Herring,,"Herring, European Sprat",Gillnets,"Marine Stewardship Council Certified Fisheries (DFPO and DPPO North Sea, Skagerrak and Kattegat sandeel)",10.0
36,Herring,,"Herring, European Sprat",Traps,Marine Stewardship Council Certified Fisheries (Finland Baltic herring & sprat),10.0
37,Herring,,"Herring, European Sprat",Trawls,Marine Stewardship Council Certified Fisheries (Finland Baltic herring & sprat),10.0
38,Herring,,"Herring, European Sprat",Stationary uncovered pound nets,"Marine Stewardship Council Certified Fisheries (DFPO and DPPO North Sea, Skagerrak and Kattegat sandeel)",10.0
39,Herring,,"Herring, European Sprat",Purse seines,"Marine Stewardship Council Certified Fisheries (DFPO and DPPO North Sea, Skagerrak and Kattegat sandeel)",10.0
40,Herring,,"Herring, European Sprat",Bottom trawls,"Marine Stewardship Council Certified Fisheries (DFPO and DPPO North Sea, Skagerrak and Kattegat sandeel)",10.0
41,Herring,,"Herring, European Sprat",Midwater trawls,"Marine Stewardship Council Certified Fisheries (DFPO and DPPO North Sea, Skagerrak and Kattegat sandeel)",10.0
42,Herring,,"Herring, European Sprat",Otter trawls,Marine Stewardship Council Certified Fisheries (LFPO pelagic trawl sprat ),10.0
43,Herring,,"Herring, European Sprat",Midwater trawls,Marine Stewardship Council Certified Fisheries (NZRO Gulf of Riga),10.0
44,Herring,,"Herring, Thread             Herring, Nishin",Purse seines,Marine Stewardship Council Certified Fisheries (Southern Gulf of California),10.0
0,Hogfish,BEST CHOICE,"Hogfish                         Hogsnapper, Hog Snapper",Hand implements,"U.S. - Florida, Western Central Atlantic Ocean: Gulf of Mexico",3.23
1,Hogfish,GOOD ALTERNATIVE,"Hogfish                         Hogsnapper, Hog Snapper",Handlines and hand-operated pole-and-lines,"U.S. - Florida, Western Central Atlantic Ocean: Gulf of Mexico",3.19
2,Hogfish,GOOD ALTERNATIVE,"Hogfish                         Hogsnapper, Hog Snapper",Hand implements,"U.S. - South Carolina, Western Central Atlantic Ocean",2.96
3,Hogfish,AVOID,"Hogfish                         Hogsnapper, Hog Snapper",Hand implements,"U.S. - North Carolina, Western Central Atlantic Ocean",2.39
4,Hogfish,AVOID,"Hogfish                         Hogsnapper, Hog Snapper",Handlines and hand-operated pole-and-lines,"U.S. - North Carolina, Western Central Atlantic Ocean",2.36
5,Hogfish,AVOID,"Hogfish                         Hogsnapper, Hog Snapper",Hand implements,"U.S. - Florida, Western Central Atlantic Ocean (excluding U.S. Gulf of Mexico)",2.15
6,Hogfish,AVOID,"Hogfish                         Hogsnapper, Hog Snapper",Handlines and hand-operated pole-and-lines,"U.S. - Florida, Western Central Atlantic Ocean (excluding U.S. Gulf of Mexico)",2.12
7,Hogfish,AVOID,"Hogfish                         Hogsnapper, Hog Snapper",Hand implements,"U.S. - Puerto Rico, Western Central Atlantic Ocean",1.63
8,Hogfish,AVOID,"Hogfish                         Hogsnapper, Hog Snapper",Handlines and hand-operated pole-and-lines,"U.S. - South Carolina, Western Central Atlantic Ocean",2.36
0,Icefish,,"Icefish, Mackerel Australia Mackerel Icefish, icefish",Bottom trawls,Marine Stewardship Council Certified Fisheries (Australia),10.0
1,Icefish,,"Icefish, Mackerel Australia Mackerel Icefish, icefish",Midwater trawls,Marine Stewardship Council Certified Fisheries (South Georgia),10.0
2,Icefish,,"Icefish, Mackerel Australia Mackerel Icefish, Icefish",Bottom trawls,Marine Stewardship Council Certified Fisheries (Australian Heard Island and McDonald Islands Toothfish & Icefish fisheries),10.0
3,Icefish,,"Icefish, Mackerel Australia Mackerel Icefish, Icefish",Set longlines,Marine Stewardship Council Certified Fisheries (Australian Heard Island and McDonald Islands Toothfish & Icefish fisheries),10.0
0,Kelp Greenling,GOOD ALTERNATIVE,Kelp Greenling Greenling,Handlines and hand-operated pole-and-lines,"U.S. - West Coast, Pacific Ocean (Nearshore, north of 40°10')",2.715
0,Krill,GOOD ALTERNATIVE,"Krill, Antarctic                         Krill",Midwater trawls,Antarctica - Southern Ocean,3.0
1,Krill,GOOD ALTERNATIVE,"Krill, Isada                         Krill",Midwater trawls,"Canada - British Columbia, Northeast Pacific Ocean: Strait of Georgia",3.39
2,Krill,,"Krill, Antarctic             Krill",Midwater trawls,Marine Stewardship Council Certified Fisheries (Aker Biomarine),10.0
3,Krill,,"Krill, Antarctic             Krill",Midwater trawls,Marine Stewardship Council Certified Fisheries (Deris S.A. - Pesca Chile),10.0
0,Ling,,Ling Ling,Otter trawls,Marine Stewardship Council Certified Fisheries (ISF Iceland),10.0
1,Ling,,Ling Ling,Nephrops trawls,Marine Stewardship Council Certified Fisheries (ISF Iceland),10.0
2,Ling,,Ling Ling,Longlines,Marine Stewardship Council Certified Fisheries (ISF Iceland),10.0
3,Ling,,Ling Ling,Shrimp trawls,Marine Stewardship Council Certified Fisheries (ISF Iceland),10.0
4,Ling,,Ling Ling,Danish seines,Marine Stewardship Council Certified Fisheries (ISF Iceland),10.0
5,Ling,,Ling Ling,Longlines,Marine Stewardship Council Certified Fisheries (Faroe Islands tusk & ling),10.0
6,Ling,,Ling Ling,Pair trawls,Marine Stewardship Council Certified Fisheries (Faroe Islands tusk & ling),10.0
